tax_id	NZ	order	phylum	genus	family	species	class
479831	NZ_ABHD02000045.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000046.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000047.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000048.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000049.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000050.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000051.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000052.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000053.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000054.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000055.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000056.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000057.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000058.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000059.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000060.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
2371	NZ_CP009790.1	Xanthomonadales	Proteobacteria	Xylella	Xanthomonadaceae	Xylella fastidiosa	Gammaproteobacteria
2371	NZ_CP009791.1	Xanthomonadales	Proteobacteria	Xylella	Xanthomonadaceae	Xylella fastidiosa	Gammaproteobacteria
1124626	NZ_AP017635.1	Corynebacteriales	Actinobacteria	Mycobacterium	Mycobacteriaceae	Mycobacterium ulcerans	Actinobacteria
1493872	NZ_CP033912.1	Flavobacteriales	Bacteroidetes	Chryseobacterium	Flavobacteriaceae	Chryseobacterium shandongense	Flavobacteriia
1493872	NZ_CP033913.1	Flavobacteriales	Bacteroidetes	Chryseobacterium	Flavobacteriaceae	Chryseobacterium shandongense	Flavobacteriia
90371	NZ_CP019649.1	Enterobacterales	Proteobacteria	Salmonella	Enterobacteriaceae	Salmonella enterica	Gammaproteobacteria
90371	NZ_CP019647.1	Enterobacterales	Proteobacteria	Salmonella	Enterobacteriaceae	Salmonella enterica	Gammaproteobacteria
90371	NZ_CP019648.1	Enterobacterales	Proteobacteria	Salmonella	Enterobacteriaceae	Salmonella enterica	Gammaproteobacteria
203275	NC_016610.1	Bacteroidales	Bacteroidetes	Tannerella	Tannerellaceae	Tannerella forsythia	Bacteroidia
1280	NZ_CP029678.1	Bacillales	Firmicutes	Staphylococcus	Staphylococcaceae	Staphylococcus aureus	Bacilli
1280	NZ_CP029676.1	Bacillales	Firmicutes	Staphylococcus	Staphylococcaceae	Staphylococcus aureus	Bacilli
1280	NZ_CP029677.1	Bacillales	Firmicutes	Staphylococcus	Staphylococcaceae	Staphylococcus aureus	Bacilli
1496	NZ_LN614756.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
28450	NZ_CP016909.1	Burkholderiales	Proteobacteria	Burkholderia	Burkholderiaceae	Burkholderia pseudomallei	Betaproteobacteria
28450	NZ_CP016910.1	Burkholderiales	Proteobacteria	Burkholderia	Burkholderiaceae	Burkholderia pseudomallei	Betaproteobacteria
1314	NZ_LS483338.1	Lactobacillales	Firmicutes	Streptococcus	Streptococcaceae	Streptococcus pyogenes	Bacilli
1280	NZ_CP021352.1	Bacillales	Firmicutes	Staphylococcus	Staphylococcaceae	Staphylococcus aureus	Bacilli
1147161	NC_020507.1	Bacillales	Firmicutes	Bacillus	Bacillaceae	Bacillus subtilis	Bacilli
315405	NZ_LS483409.1	Lactobacillales	Firmicutes	Streptococcus	Streptococcaceae	Streptococcus gallolyticus	Bacilli
2007306	NZ_CP021781.1	Thiotrichales	Proteobacteria	Francisella	Francisellaceae	Francisella sp. FDC440	Gammaproteobacteria
1773	NZ_CP025597.1	Corynebacteriales	Actinobacteria	Mycobacterium	Mycobacteriaceae	Mycobacterium tuberculosis	Actinobacteria
1513890	NZ_CP027740.1	Pseudomonadales	Proteobacteria	Pseudomonas	Pseudomonadaceae	Pseudomonas chlororaphis	Gammaproteobacteria
1773	NZ_CP020381.2	Corynebacteriales	Actinobacteria	Mycobacterium	Mycobacteriaceae	Mycobacterium tuberculosis	Actinobacteria
244366	NZ_CP017849.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella variicola	Gammaproteobacteria
244366	NZ_CP017850.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella variicola	Gammaproteobacteria
244366	NZ_CP017851.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella variicola	Gammaproteobacteria
244366	NZ_CP017852.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella variicola	Gammaproteobacteria
244366	NZ_CP017853.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella variicola	Gammaproteobacteria
562	NZ_CP015023.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
562	NZ_CP015022.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
1553431	NZ_AP018150.1	Burkholderiales	Proteobacteria	Mycoavidus	Burkholderiaceae	Mycoavidus cysteinexigens	Betaproteobacteria
29459	NZ_LT962912.1	Rhizobiales	Proteobacteria	Brucella	Brucellaceae	Brucella melitensis	Alphaproteobacteria
29459	NZ_LT962913.1	Rhizobiales	Proteobacteria	Brucella	Brucellaceae	Brucella melitensis	Alphaproteobacteria
